"game_id","away_team","home_team","game_type","away_score","home_score","away_yards","home_yards","total_yards","away_drives","home_drives","away_touchdowns","home_touchdowns","away_field_goals","home_field_goals","away_punts","home_punts","away_td_perc","away_fg_perc","away_pn_perc","home_td_perc","home_fg_perc","home_pn_perc","season"
"2023_01_ARI_WAS","ARI","WAS","REG",16,20,210,248,458,11,14,0,2,3,2,8,10,0,0.272727272727273,0.727272727272727,0.142857142857143,0.142857142857143,0.714285714285714,2023
"2023_01_BUF_NYJ","BUF","NYJ","REG",16,22,314,289,603,11,12,1,1,3,3,7,8,0.0909090909090909,0.272727272727273,0.636363636363636,0.0833333333333333,0.25,0.666666666666667,2023
"2023_01_CAR_ATL","CAR","ATL","REG",10,24,281,221,502,12,13,1,3,1,1,10,9,0.0833333333333333,0.0833333333333333,0.833333333333333,0.230769230769231,0.0769230769230769,0.692307692307692,2023
"2023_01_CIN_CLE","CIN","CLE","REG",3,24,142,352,494,15,14,0,2,1,3,14,9,0,0.0666666666666667,0.933333333333333,0.142857142857143,0.214285714285714,0.642857142857143,2023
"2023_01_DAL_NYG","DAL","NYG","REG",40,0,265,171,436,10,12,4,0,2,0,4,12,0.4,0.2,0.4,0,0,1,2023
"2023_01_DET_KC","DET","KC","REG",21,20,368,316,684,12,11,2,2,0,2,10,7,0.166666666666667,0,0.833333333333333,0.181818181818182,0.181818181818182,0.636363636363636,2023
"2023_01_GB_CHI","GB","CHI","REG",38,20,329,313,642,12,12,4,2,1,2,7,8,0.333333333333333,0.0833333333333333,0.583333333333333,0.166666666666667,0.166666666666667,0.666666666666667,2023
"2023_01_HOU_BAL","HOU","BAL","REG",9,25,268,267,535,12,11,0,3,3,1,9,7,0,0.25,0.75,0.272727272727273,0.0909090909090909,0.636363636363636,2023
"2023_01_JAX_IND","JAX","IND","REG",31,21,342,280,622,15,15,4,2,1,0,10,13,0.266666666666667,0.0666666666666667,0.666666666666667,0.133333333333333,0,0.866666666666667,2023
"2023_01_LA_SEA","LAR","SEA","REG",18,13,426,180,606,9,9,0,1,3,2,6,6,0,0.333333333333333,0.666666666666667,0.111111111111111,0.222222222222222,0.666666666666667,2023
"2023_01_LV_DEN","LV","DEN","REG",17,16,261,260,521,7,6,2,2,1,1,4,3,0.285714285714286,0.142857142857143,0.571428571428571,0.333333333333333,0.166666666666667,0.5,2023
"2023_01_MIA_LAC","MIA","LAC","REG",36,34,536,433,969,11,10,4,4,3,2,4,4,0.363636363636364,0.272727272727273,0.363636363636364,0.4,0.2,0.4,2023
"2023_01_PHI_NE","PHI","NE","REG",25,20,251,382,633,14,13,1,3,4,0,9,10,0.0714285714285714,0.285714285714286,0.642857142857143,0.230769230769231,0,0.769230769230769,2023
"2023_01_SF_PIT","SF","PIT","REG",30,7,391,239,630,12,11,3,1,3,0,6,10,0.25,0.25,0.5,0.0909090909090909,0,0.909090909090909,2023
"2023_01_TB_MIN","TB","MIN","REG",20,17,242,369,611,12,11,2,2,2,1,8,8,0.166666666666667,0.166666666666667,0.666666666666667,0.181818181818182,0.0909090909090909,0.727272727272727,2023
"2023_01_TEN_NO","TEN","NO","REG",15,16,285,351,636,12,13,0,1,5,4,7,8,0,0.416666666666667,0.583333333333333,0.0769230769230769,0.307692307692308,0.615384615384615,2023
"2023_02_BAL_CIN","BAL","CIN","REG",27,24,415,282,697,9,8,3,2,2,1,4,5,0.333333333333333,0.222222222222222,0.444444444444444,0.25,0.125,0.625,2023
"2023_02_CHI_TB","CHI","TB","REG",17,27,236,437,673,10,11,2,2,1,2,7,7,0.2,0.1,0.7,0.181818181818182,0.181818181818182,0.636363636363636,2023
"2023_02_CLE_PIT","CLE","PIT","REG",22,26,412,255,667,15,15,2,1,2,2,11,12,0.133333333333333,0.133333333333333,0.733333333333333,0.0666666666666667,0.133333333333333,0.8,2023
"2023_02_GB_ATL","GB","ATL","REG",24,25,224,446,670,10,10,3,2,1,4,6,4,0.3,0.1,0.6,0.2,0.4,0.4,2023
"2023_02_IND_HOU","IND","HOU","REG",31,20,353,389,742,10,11,4,2,1,2,5,7,0.4,0.1,0.5,0.181818181818182,0.181818181818182,0.636363636363636,2023
"2023_02_KC_JAX","KC","JAX","REG",17,9,399,271,670,10,11,2,0,1,3,7,8,0.2,0.1,0.7,0,0.272727272727273,0.727272727272727,2023
"2023_02_LAC_TEN","LAC","TEN","REG",24,27,344,341,685,11,12,2,3,3,3,6,6,0.181818181818182,0.272727272727273,0.545454545454545,0.25,0.25,0.5,2023
"2023_02_LV_BUF","LV","BUF","REG",10,38,240,450,690,9,9,1,5,1,1,7,3,0.111111111111111,0.111111111111111,0.777777777777778,0.555555555555556,0.111111111111111,0.333333333333333,2023
"2023_02_MIA_NE","MIA","NE","REG",24,17,389,288,677,12,11,4,2,1,1,7,8,0.333333333333333,0.0833333333333333,0.583333333333333,0.181818181818182,0.0909090909090909,0.727272727272727,2023
"2023_02_MIN_PHI","MIN","PHI","REG",28,34,374,430,804,11,12,4,4,0,2,7,6,0.363636363636364,0,0.636363636363636,0.333333333333333,0.166666666666667,0.5,2023
"2023_02_NO_CAR","NO","CAR","REG",20,17,341,241,582,11,11,2,1,2,3,7,7,0.181818181818182,0.181818181818182,0.636363636363636,0.0909090909090909,0.272727272727273,0.636363636363636,2023
"2023_02_NYG_ARI","NYG","ARI","REG",31,28,439,381,820,10,10,4,3,1,2,5,5,0.4,0.1,0.5,0.3,0.2,0.5,2023
"2023_02_NYJ_DAL","NYJ","DAL","REG",10,30,215,384,599,11,12,1,2,1,5,9,5,0.0909090909090909,0.0909090909090909,0.818181818181818,0.166666666666667,0.416666666666667,0.416666666666667,2023
"2023_02_SEA_DET","SEA","DET","REG",37,31,393,418,811,10,12,4,4,1,1,5,7,0.4,0.1,0.5,0.333333333333333,0.0833333333333333,0.583333333333333,2023
"2023_02_SF_LA","SF","LAR","REG",30,12,365,386,751,10,11,3,0,3,3,4,8,0.3,0.3,0.4,0,0.272727272727273,0.727272727272727,2023
"2023_02_WAS_DEN","WAS","DEN","REG",35,33,390,399,789,11,12,4,5,2,2,5,5,0.363636363636364,0.181818181818182,0.454545454545455,0.416666666666667,0.166666666666667,0.416666666666667,2023
"2023_03_ATL_DET","ATL","DET","REG",6,20,183,358,541,13,12,0,2,2,2,11,8,0,0.153846153846154,0.846153846153846,0.166666666666667,0.166666666666667,0.666666666666667,2023
"2023_03_BUF_WAS","BUF","WAS","REG",37,3,386,230,616,11,11,3,0,3,1,5,10,0.272727272727273,0.272727272727273,0.454545454545455,0,0.0909090909090909,0.909090909090909,2023
"2023_03_CAR_SEA","CAR","SEA","REG",27,37,378,427,805,12,13,3,3,2,5,7,5,0.25,0.166666666666667,0.583333333333333,0.230769230769231,0.384615384615385,0.384615384615385,2023
"2023_03_CHI_KC","CHI","KC","REG",10,41,203,456,659,10,11,1,5,1,2,8,4,0.1,0.1,0.8,0.454545454545455,0.181818181818182,0.363636363636364,2023
"2023_03_DAL_ARI","DAL","ARI","REG",16,28,416,400,816,8,9,1,3,3,3,4,3,0.125,0.375,0.5,0.333333333333333,0.333333333333333,0.333333333333333,2023
"2023_03_DEN_MIA","DEN","MIA","REG",20,70,363,726,1089,14,14,2,10,2,0,10,4,0.142857142857143,0.142857142857143,0.714285714285714,0.714285714285714,0,0.285714285714286,2023
"2023_03_HOU_JAX","HOU","JAX","REG",37,17,366,404,770,11,11,4,2,3,1,4,8,0.363636363636364,0.272727272727273,0.363636363636364,0.181818181818182,0.0909090909090909,0.727272727272727,2023
"2023_03_IND_BAL","IND","BAL","REG",22,19,327,364,691,16,16,1,2,5,1,10,13,0.0625,0.3125,0.625,0.125,0.0625,0.8125,2023
"2023_03_LAC_MIN","LAC","MIN","REG",28,24,475,475,950,11,11,4,3,0,1,7,7,0.363636363636364,0,0.636363636363636,0.272727272727273,0.0909090909090909,0.636363636363636,2023
"2023_03_LA_CIN","LAR","CIN","REG",6,19,292,309,601,12,13,0,1,3,4,9,8,0,0.25,0.75,0.0769230769230769,0.307692307692308,0.615384615384615,2023
"2023_03_NE_NYJ","NE","NYJ","REG",15,10,358,171,529,13,13,1,1,2,1,10,11,0.0769230769230769,0.153846153846154,0.769230769230769,0.0769230769230769,0.0769230769230769,0.846153846153846,2023
"2023_03_NO_GB","NO","GB","REG",17,18,252,342,594,11,12,1,2,1,1,9,9,0.0909090909090909,0.0909090909090909,0.818181818181818,0.166666666666667,0.0833333333333333,0.75,2023
"2023_03_NYG_SF","NYG","SF","REG",12,30,150,441,591,10,11,1,3,2,3,7,5,0.1,0.2,0.7,0.272727272727273,0.272727272727273,0.454545454545455,2023
"2023_03_PHI_TB","PHI","TB","REG",25,11,472,176,648,10,9,2,1,3,1,5,7,0.2,0.3,0.5,0.111111111111111,0.111111111111111,0.777777777777778,2023
"2023_03_PIT_LV","PIT","LV","REG",23,18,333,364,697,13,12,2,2,3,1,8,9,0.153846153846154,0.230769230769231,0.615384615384615,0.166666666666667,0.0833333333333333,0.75,2023
